id,short_code,name,classification,type,size,color,description_main,description_extra,manufacturer,part_number
storage_jar_clip_top_kilner_1000_ml_capacity_110_mm_diameter_180_mm_depth_kilner_0025_491,,Storage Jar Clip Top Kilner 1000 Ml Capacity 110 mm Diameter 180 mm Depth Kilner 0025 491,storage,jar_clip_top_kilner,,,1000_ml_capacity_110_mm_diameter_180_mm_depth,,kilner,0025_491
storage_jar_clip_top_kilner_1500_ml_capacity_110_mm_diameter_230_mm_depth_kilner_0025_492,,Storage Jar Clip Top Kilner 1500 Ml Capacity 110 mm Diameter 230 mm Depth Kilner 0025 492,storage,jar_clip_top_kilner,,,1500_ml_capacity_110_mm_diameter_230_mm_depth,,kilner,0025_492
storage_jar_clip_top_kilner_3000_ml_capacity_140_mm_diameter_280_mm_depth_kilner_0025_494,,Storage Jar Clip Top Kilner 3000 Ml Capacity 140 mm Diameter 280 mm Depth Kilner 0025 494,storage,jar_clip_top_kilner,,,3000_ml_capacity_140_mm_diameter_280_mm_depth,,kilner,0025_494
