id,short_code,name,type,description_main,description_only_numbers1151M390060,part_number_distributor_orbital_fasteners,webpage_distributor_orbital_fasteners,part_number_manufacturer_metalmate,webpage_manufacturer_metalmate,price_current,name_manufacturer_metalmate
storage_jar_clip_top_kilner_1000_ml_capacity_110_mm_diameter_180_mm_depth_kilner_0025_491,,Storage Jar Clip Top Kilner 1000 Ml Capacity 110 mm Diameter 180 mm Depth Kilner 0025 491,jar_clip_top_kilner,1000_ml_capacity_110_mm_diameter_180_mm_depth,,,,,,,
storage_jar_clip_top_kilner_1500_ml_capacity_110_mm_diameter_230_mm_depth_kilner_0025_492,,Storage Jar Clip Top Kilner 1500 Ml Capacity 110 mm Diameter 230 mm Depth Kilner 0025 492,jar_clip_top_kilner,1500_ml_capacity_110_mm_diameter_230_mm_depth,,,,,,,
storage_jar_clip_top_kilner_3000_ml_capacity_140_mm_diameter_280_mm_depth_kilner_0025_494,,Storage Jar Clip Top Kilner 3000 Ml Capacity 140 mm Diameter 280 mm Depth Kilner 0025 494,jar_clip_top_kilner,3000_ml_capacity_140_mm_diameter_280_mm_depth,,,,,,,
